split,source_image,source_annotation,dataset_image,dataset_label
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\seven-different-styles-analog-clocks-on-wall-2DP0WAH.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\seven-different-styles-analog-clocks-on-wall-2DP0WAH.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00010.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00010.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (4).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (4).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00011.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00011.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\il_fullxfull.6133876460_hbfq.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\il_fullxfull.6133876460_hbfq.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00012.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00012.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (37).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (37).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00013.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00013.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\1012623538.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\1012623538.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00014.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00014.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\Novanex_ONTA12-BK_branded_29408828-4b5f-494a-afed-236726e20b95_1200x.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\Novanex_ONTA12-BK_branded_29408828-4b5f-494a-afed-236726e20b95_1200x.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00015.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00015.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\analog-clock.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\analog-clock.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00016.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00016.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\H3254f0c36c06440893dd4e8010ec988aZ.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\H3254f0c36c06440893dd4e8010ec988aZ.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00017.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00017.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\CL-A16.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\CL-A16.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00018.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00018.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (16).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (16).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00019.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00019.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (12).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (12).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00020.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00020.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (21).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (21).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00021.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00021.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (6).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (6).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00022.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00022.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (56).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (56).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00023.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00023.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (18).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (18).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00024.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00024.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (20).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (20).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00025.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00025.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (17).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (17).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00026.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00026.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (55).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (55).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00027.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00027.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\9inchbeechwoodclock_1024x1024@2x.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\9inchbeechwoodclock_1024x1024@2x.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00028.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00028.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (4).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (4).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00029.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00029.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (9).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (9).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00030.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00030.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (52).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (52).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00031.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00031.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (22).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (22).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00032.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00032.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (43).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (43).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00033.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00033.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\013112_1820_AnalogClock1.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\013112_1820_AnalogClock1.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00034.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00034.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\gurpreet-analog-clock-seo-06-1617946432.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\gurpreet-analog-clock-seo-06-1617946432.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00035.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00035.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (23).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (23).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00036.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00036.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (29).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (29).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00037.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00037.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\half-past-4-on-an-analog-clock.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\half-past-4-on-an-analog-clock.ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00038.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00038.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (53).jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (53).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00039.jpg,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00039.txt
train,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (35).png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\analog_clock\data\from_internet\download (35).ann.json,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\images\train\train_00040.png,C:\Users\danie\Desktop\DS\Degree\projects\Advanced_topics_in_DS\Clock-Recognition-And-Manipulation-DL\ac_hands_ft\dataset\labels\train\train_00040.txt
